CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5051478,08/31/2015 01:08:00 PM,09/04/2015 03:47:14 PM,09/04/2015 03:47:14 PM,Closed,"Case Resolved - BID Complaint No. 201568251 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Building Inspection Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"690 PAGE ST, SAN FRANCISCO, CA, 94117",5,Lower Haight,"(37.772973252263, -122.432008994211)",Web Self Service,
5052773,08/31/2015 06:53:32 PM,09/14/2015 01:16:42 PM,09/14/2015 01:16:42 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of 16TH ST and MISSION ST,9,Mission,"(37.7650512510466, -122.419669041689)",Voice In,
5053241,09/01/2015 12:16:22 AM,09/09/2015 05:03:01 AM,09/09/2015 05:03:01 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,vehicle_car_alarm,Noise Report - vehicle_car_alarm,"1 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.774628805593, -122.418848088939)",Voice In,
5053263,09/01/2015 12:46:21 AM,09/09/2015 05:02:59 AM,09/09/2015 05:02:59 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"295 ROOSEVELT WAY, SAN FRANCISCO, CA, 94114",8,Corona Heights,"(37.765406844095, -122.440795523628)",Web Self Service,
5054115,09/01/2015 09:25:26 AM,09/14/2015 02:32:41 PM,09/14/2015 02:32:41 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of MARKET ST and VALENCIA ST,5,Lower Haight,"(37.7725028017918, -122.422619698828)",Voice In,
5054234,09/01/2015 09:43:13 AM,09/01/2015 03:53:04 PM,09/01/2015 03:53:04 PM,Closed,"Case is a Duplicate - BID Complaint No. 201566611 has been filed with DBI (415) 558-6570 on 08/25/2015.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Intersection of CHANNEL ST and 4TH ST,0,,"(37.7750267411981, -122.392346366436)",Voice In,
5055444,09/01/2015 01:04:54 PM,09/14/2015 03:20:10 PM,09/14/2015 03:20:10 PM,Closed,Case Transferred -,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,605_Vehicle_Maintenance_Noise,Intersection of 3RD ST and REVERE AVE,10,Silver Terrace,"(37.7324318456943, -122.391521496212)",Voice In,
5055959,09/01/2015 02:33:18 PM,09/02/2015 04:33:57 PM,09/02/2015 04:33:57 PM,Closed,"Case Transferred - Consumer Protection, Food
 Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,Not associated with a specific address,0,,,Voice In,
5056102,09/01/2015 02:59:28 PM,09/03/2015 12:00:00 PM,09/03/2015 12:00:00 PM,Closed,Case Completed - resolved:  found M2 square construction doing work for IDC this location -  forward complain to I D C,DPW BSM Queue,Noise Report,construction_public,Noise Report - construction_public,"1635 GOUGH ST, SAN FRANCISCO, CA, 94109",5,Cathedral Hill,"(37.788650920715, -122.425491713121)",Voice In,
5057478,09/01/2015 09:40:01 PM,09/09/2015 05:03:04 AM,09/09/2015 05:03:04 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"679 45TH AVE, SAN FRANCISCO, CA, 94121",1,Sutro Heights,"(37.775731929667, -122.506054351026)",Voice In,
5057626,09/01/2015 11:32:09 PM,09/04/2015 04:13:40 PM,09/04/2015 04:13:40 PM,Closed,"Case Resolved - BID Complaint No. 201568263 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,Not associated with a specific address,0,,,Voice In,
5057772,09/02/2015 03:47:56 AM,09/02/2015 03:26:59 PM,09/02/2015 03:26:59 PM,Closed,"Case Transferred - Consumer Protection, Food
 Safety Program, DPH
 415-252-3904",DPH - Environmental Health - G,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"609 HAYES ST, SAN FRANCISCO, CA, 94102",5,Panhandle,"(37.773511770713, -122.4507179806)",Web Self Service,
5057992,09/02/2015 07:29:52 AM,09/04/2015 04:01:31 PM,09/04/2015 04:01:31 PM,Closed,"Case Resolved - BID Complaint No. 201568259 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"1450 15TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766957928926, -122.416804263941)",Web Self Service,
5058016,09/02/2015 07:37:39 AM,09/09/2015 05:03:06 AM,09/09/2015 05:03:06 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"5800 3RD ST, SAN FRANCISCO, CA, 94124",10,Bayview,"(37.72487737626, -122.39471624425)",Voice In,
5058237,09/02/2015 08:22:21 AM,09/08/2015 03:53:29 PM,09/08/2015 03:53:29 PM,Closed,"Case Resolved - BID Complaint No. 201568564 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"185 CHANNEL ST, SAN FRANCISCO, CA, 94158",6,Mission Bay,"(37.774394429314, -122.391132995212)",Voice In,
5058812,09/02/2015 10:05:57 AM,09/15/2015 10:08:31 AM,09/15/2015 10:08:31 AM,Closed,"Case Resolved - BID Complaint no. 201569491 has been filed with DBI (415) 558-6570.  To view the status, please visit our website at www.sfdbi.org",DBI Inspection Services Queue,Noise Report,construction_private_property,Noise Report - construction_private_property,"2238 KIRKHAM ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.759595431755, -122.485081522926)",Voice In,
5059118,09/02/2015 10:57:17 AM,09/02/2015 02:10:42 PM,09/02/2015 02:10:42 PM,Closed,"Case Transferred - Consumer Protection, Food
 Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Noise Report,mobile_food_facility,Noise Report - mobile_food_facility,"609 HAYES ST, SAN FRANCISCO, CA, 94102",5,Panhandle,"(37.773511770713, -122.4507179806)",Voice In,
5059323,09/02/2015 11:35:00 AM,,09/02/2015 11:35:00 AM,Open,Open,Planning - G,Noise Report,delivery_service_business,Noise Report - delivery_service_business,"969 SUTTER ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,"(37.788126665449, -122.416248368458)",Web Self Service,
5060083,09/02/2015 01:58:58 PM,09/09/2015 05:03:02 AM,09/09/2015 05:03:02 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,sirens,Noise Report - sirens,Intersection of HARRISON ST and 4TH ST,6,South of Market,"(37.7807914872314, -122.399616196066)",Voice In,
